Pred_CO2_kgm3,CS_MPa_median_boot,CS_MPa_CI_2.5%,CS_MPa_CI_97.5%
124.00049,28.36598014831543,20.976355934143065,34.60309324264526
124.00049,28.36598014831543,20.976355934143065,34.60309324264526
124.00049,28.36598014831543,20.976355934143065,34.60309324264526
124.00049,28.36598014831543,20.976355934143065,34.60309324264526
124.00049,28.36598014831543,20.976355934143065,34.60309324264526
124.00049,28.36598014831543,20.976355934143065,34.60309324264526
124.0026,29.774256706237793,24.45973515510559,34.81059303283691
124.0026,29.774256706237793,24.45973515510559,34.81059303283691
124.0026,29.774256706237793,24.45973515510559,34.81059303283691
124.0026,29.774256706237793,24.45973515510559,34.81059303283691
124.0026,29.774256706237793,24.45973515510559,34.81059303283691
124.0026,29.774256706237793,24.45973515510559,34.81059303283691
124.97508,31.09365177154541,21.573082828521727,36.79793310165405
124.977196,32.81359672546387,25.593581247329713,36.99352922439575
125.176834,30.91963291168213,20.73334412574768,45.997735023498535
125.211655,38.8693962097168,23.183852195739746,45.997735023498535
126.055,40.2927131652832,23.811977100372314,48.1471604347229
127.718666,42.19076919555664,23.88596377372742,51.92286520004272
129.04935,45.580278396606445,42.85103511810303,47.8217869758606
129.90562,48.0274600982666,44.458924007415774,50.55507774353027
130.46317,49.06295585632324,45.49598922729492,52.5540994644165
130.96716,48.49778175354004,45.560780143737794,50.65622987747192
131.5247,49.41457557678223,46.33511838912964,53.08149251937866
131.67186,51.2786979675293,46.824847507476804,55.44131822586059
132.73676,51.870418548583984,48.236928939819336,55.84378824234009
134.2511,52.081125259399414,48.58952913284302,55.909571933746335
138.13097,52.68812942504883,49.30893402099609,56.41443815231323
138.38765,52.943824768066406,49.566544914245604,56.70020761489868
139.86987,53.57649040222168,49.996435928344724,57.220445442199704
140.77666,53.67367935180664,50.23532114028931,57.38317947387695
140.8668,53.69625282287598,50.21822710037232,57.38533697128296
141.03989,53.76823616027832,50.23835906982422,57.48103113174438
141.05988,53.78332328796387,50.240608024597165,57.48103113174438
142.0708,53.91170692443848,50.33732767105103,57.71696100234985
