GGBFS (kg/m3),NaOH (Dry),Pred_CS_MPa,Pred_CO2_kgm3,Pareto_Optimal
0.0,12.810400000000001,29.019783,124.00049,True
0.0,13.60504060157895,30.606058,124.0026,True
0.0,14.399681203157895,30.548845,127.80244,False
0.0,15.194321804736843,30.798262,127.80189,False
0.0,15.98896240631579,31.110016,128.76434,False
0.0,16.783603007894737,31.269156,129.98553,False
0.0,17.578243609473684,31.106136,134.2684,False
0.0,18.372884211052632,31.24171,134.78418,False
0.0,19.16752481263158,31.039778,135.36105,False
0.0,19.962165414210524,31.303795,135.89348,False
0.0,20.756806015789472,31.333256,137.2025,False
0.0,21.55144661736842,31.34306,137.47507,False
0.0,22.346087218947368,31.391893,137.58502,False
0.0,23.140727820526315,31.408346,137.61148,False
0.0,23.935368422105263,31.430292,137.6534,False
0.0,24.73000902368421,31.361801,137.6357,False
0.0,25.52464962526316,31.361801,137.6357,False
0.0,26.319290226842107,31.29757,138.07408,False
0.0,27.11393082842105,31.29757,138.07408,False
0.0,27.90857143,31.304121,138.71664,False
18.94736842105263,12.810400000000001,29.019783,124.00049,True
18.94736842105263,13.60504060157895,30.606058,124.0026,True
18.94736842105263,14.399681203157895,30.548845,127.80244,False
18.94736842105263,15.194321804736843,30.798262,127.80189,False
18.94736842105263,15.98896240631579,31.110016,128.76434,False
18.94736842105263,16.783603007894737,31.269156,129.98553,False
18.94736842105263,17.578243609473684,31.106136,134.2684,False
18.94736842105263,18.372884211052632,31.24171,134.78418,False
18.94736842105263,19.16752481263158,31.039778,135.36105,False
18.94736842105263,19.962165414210524,31.303795,135.89348,False
18.94736842105263,20.756806015789472,31.333256,137.2025,False
18.94736842105263,21.55144661736842,31.34306,137.47507,False
18.94736842105263,22.346087218947368,31.391893,137.58502,False
18.94736842105263,23.140727820526315,31.408346,137.61148,False
18.94736842105263,23.935368422105263,31.430292,137.6534,False
18.94736842105263,24.73000902368421,31.361801,137.6357,False
18.94736842105263,25.52464962526316,31.361801,137.6357,False
18.94736842105263,26.319290226842107,31.29757,138.07408,False
18.94736842105263,27.11393082842105,31.29757,138.07408,False
18.94736842105263,27.90857143,31.304121,138.71664,False
37.89473684210526,12.810400000000001,29.019783,124.00049,True
37.89473684210526,13.60504060157895,30.606058,124.0026,True
37.89473684210526,14.399681203157895,30.548845,127.80244,False
37.89473684210526,15.194321804736843,30.798262,127.80189,False
37.89473684210526,15.98896240631579,31.110016,128.76434,False
37.89473684210526,16.783603007894737,31.269156,129.98553,False
37.89473684210526,17.578243609473684,31.106136,134.2684,False
37.89473684210526,18.372884211052632,31.24171,134.78418,False
37.89473684210526,19.16752481263158,31.039778,135.36105,False
37.89473684210526,19.962165414210524,31.303795,135.89348,False
37.89473684210526,20.756806015789472,31.333256,137.2025,False
37.89473684210526,21.55144661736842,31.34306,137.47507,False
37.89473684210526,22.346087218947368,31.391893,137.58502,False
37.89473684210526,23.140727820526315,31.408346,137.61148,False
37.89473684210526,23.935368422105263,31.430292,137.6534,False
37.89473684210526,24.73000902368421,31.361801,137.6357,False
37.89473684210526,25.52464962526316,31.361801,137.6357,False
37.89473684210526,26.319290226842107,31.29757,138.07408,False
37.89473684210526,27.11393082842105,31.29757,138.07408,False
37.89473684210526,27.90857143,31.304121,138.71664,False
56.84210526315789,12.810400000000001,29.019783,124.00049,True
56.84210526315789,13.60504060157895,30.606058,124.0026,True
56.84210526315789,14.399681203157895,30.548845,127.80244,False
56.84210526315789,15.194321804736843,30.798262,127.80189,False
56.84210526315789,15.98896240631579,31.110016,128.76434,False
56.84210526315789,16.783603007894737,31.269156,129.98553,False
56.84210526315789,17.578243609473684,31.106136,134.2684,False
56.84210526315789,18.372884211052632,31.24171,134.78418,False
56.84210526315789,19.16752481263158,31.039778,135.36105,False
56.84210526315789,19.962165414210524,31.303795,135.89348,False
56.84210526315789,20.756806015789472,31.333256,137.2025,False
56.84210526315789,21.55144661736842,31.34306,137.47507,False
56.84210526315789,22.346087218947368,31.391893,137.58502,False
56.84210526315789,23.140727820526315,31.408346,137.61148,False
56.84210526315789,23.935368422105263,31.430292,137.6534,False
56.84210526315789,24.73000902368421,31.361801,137.6357,False
56.84210526315789,25.52464962526316,31.361801,137.6357,False
56.84210526315789,26.319290226842107,31.29757,138.07408,False
56.84210526315789,27.11393082842105,31.29757,138.07408,False
56.84210526315789,27.90857143,31.304121,138.71664,False
75.78947368421052,12.810400000000001,29.019783,124.00049,True
75.78947368421052,13.60504060157895,30.606058,124.0026,True
75.78947368421052,14.399681203157895,30.548845,127.80244,False
75.78947368421052,15.194321804736843,30.798262,127.80189,False
75.78947368421052,15.98896240631579,31.110016,128.76434,False
75.78947368421052,16.783603007894737,31.269156,129.98553,False
75.78947368421052,17.578243609473684,31.106136,134.2684,False
75.78947368421052,18.372884211052632,31.24171,134.78418,False
75.78947368421052,19.16752481263158,31.039778,135.36105,False
75.78947368421052,19.962165414210524,31.303795,135.89348,False
75.78947368421052,20.756806015789472,31.333256,137.2025,False
75.78947368421052,21.55144661736842,31.34306,137.47507,False
75.78947368421052,22.346087218947368,31.391893,137.58502,False
75.78947368421052,23.140727820526315,31.408346,137.61148,False
75.78947368421052,23.935368422105263,31.430292,137.6534,False
75.78947368421052,24.73000902368421,31.361801,137.6357,False
75.78947368421052,25.52464962526316,31.361801,137.6357,False
75.78947368421052,26.319290226842107,31.29757,138.07408,False
75.78947368421052,27.11393082842105,31.29757,138.07408,False
75.78947368421052,27.90857143,31.304121,138.71664,False
94.73684210526315,12.810400000000001,29.019783,124.00049,True
94.73684210526315,13.60504060157895,30.606058,124.0026,True
94.73684210526315,14.399681203157895,30.548845,127.80244,False
94.73684210526315,15.194321804736843,30.798262,127.80189,False
94.73684210526315,15.98896240631579,31.110016,128.76434,False
94.73684210526315,16.783603007894737,31.269156,129.98553,False
94.73684210526315,17.578243609473684,31.106136,134.2684,False
94.73684210526315,18.372884211052632,31.24171,134.78418,False
94.73684210526315,19.16752481263158,31.039778,135.36105,False
94.73684210526315,19.962165414210524,31.303795,135.89348,False
94.73684210526315,20.756806015789472,31.333256,137.2025,False
94.73684210526315,21.55144661736842,31.34306,137.47507,False
94.73684210526315,22.346087218947368,31.391893,137.58502,False
94.73684210526315,23.140727820526315,31.408346,137.61148,False
94.73684210526315,23.935368422105263,31.430292,137.6534,False
94.73684210526315,24.73000902368421,31.361801,137.6357,False
94.73684210526315,25.52464962526316,31.361801,137.6357,False
94.73684210526315,26.319290226842107,31.29757,138.07408,False
94.73684210526315,27.11393082842105,31.29757,138.07408,False
94.73684210526315,27.90857143,31.304121,138.71664,False
113.68421052631578,12.810400000000001,28.926884,124.59754,False
113.68421052631578,13.60504060157895,30.538908,124.599655,False
113.68421052631578,14.399681203157895,30.481695,128.36328,False
113.68421052631578,15.194321804736843,30.719688,128.36273,False
113.68421052631578,15.98896240631579,31.031443,129.34601,False
113.68421052631578,16.783603007894737,31.205675,130.5672,False
113.68421052631578,17.578243609473684,31.0577,134.66734,False
113.68421052631578,18.372884211052632,31.189398,135.18546,False
113.68421052631578,19.16752481263158,30.984867,135.76472,False
113.68421052631578,19.962165414210524,31.230394,136.29715,False
113.68421052631578,20.756806015789472,31.259855,137.60617,False
113.68421052631578,21.55144661736842,31.269266,137.87874,False
113.68421052631578,22.346087218947368,31.3181,138.0019,False
113.68421052631578,23.140727820526315,31.334553,138.02837,False
113.68421052631578,23.935368422105263,31.356499,138.06471,False
113.68421052631578,24.73000902368421,31.291883,138.04701,False
113.68421052631578,25.52464962526316,31.291883,138.04701,False
113.68421052631578,26.319290226842107,31.228045,138.4854,False
113.68421052631578,27.11393082842105,31.228045,138.4854,False
113.68421052631578,27.90857143,31.234596,138.85342,False
132.6315789473684,12.810400000000001,31.309402,124.97508,True
132.6315789473684,13.60504060157895,33.099792,124.977196,True
132.6315789473684,14.399681203157895,33.72159,128.81879,False
132.6315789473684,15.194321804736843,34.013313,128.81824,False
132.6315789473684,15.98896240631579,34.389874,129.83644,False
132.6315789473684,16.783603007894737,34.560272,131.1471,False
132.6315789473684,17.578243609473684,34.441673,135.59175,False
132.6315789473684,18.372884211052632,34.570713,136.11534,False
132.6315789473684,19.16752481263158,34.443634,136.68187,False
