,NaOH_M,FineAgg_kgm3,CuringTemp_C,CuringTime_hr,Age_days,FA_binder_ratio,RCA_ratio,TotalCoarse_kgm3,Agg_Binder_ratio
NaOH_M,0.0,0.0,0.03226511925458908,0.1338677704334259,0.023810995742678642,0.21859152615070343,0.35137444734573364,0.09249092638492584,0.1843441277742386
FineAgg_kgm3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CuringTemp_C,0.03226516395807266,0.0,0.0,0.11625756323337555,0.05551348626613617,0.04761532321572304,0.2424386739730835,0.061775922775268555,0.17264868319034576
CuringTime_hr,0.13386769592761993,0.0,0.11625761538743973,0.0,0.14776946604251862,0.1619747281074524,1.0882090330123901,0.3603172302246094,0.687900722026825
Age_days,0.02381107211112976,0.0,0.055513422936201096,0.14776961505413055,0.0,0.05144708603620529,0.17369750142097473,0.03224674239754677,0.07577437162399292
FA_binder_ratio,0.21859143674373627,0.0,0.047615230083465576,0.16197454929351807,0.05144698545336723,0.0,0.13361388444900513,0.08066190779209137,0.06955423206090927
RCA_ratio,0.35137444734573364,0.0,0.2424386888742447,1.0882092714309692,0.17369766533374786,0.13361391425132751,0.0,0.0,0.0
TotalCoarse_kgm3,0.09249100834131241,0.0,0.06177591532468796,0.3603173494338989,0.03224669769406319,0.08066205680370331,0.0,0.0,0.14483802020549774
Agg_Binder_ratio,0.1843443363904953,0.0,0.17264863848686218,0.6879011988639832,0.07577430456876755,0.06955412775278091,0.0,0.14483797550201416,0.0
