Metric,Mean,CI_2.5%,CI_97.5%
Hold-out R2,0.9939340379202776,,
Hold-out RMSE (MPa),1.053344091158626,,
Hold-out MAE (MPa),0.6809701647077288,,
5x10-CV R2,0.9949397483289876,0.9946289100946422,0.995250586563333
5x10-CV RMSE (MPa),0.9318056471553678,0.9000802544312784,0.9635310398794573
5x10-CV MAE (MPa),0.6404116996085406,0.6207989182046267,0.6600244810124545
